[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 论文标题 | 第一单位 | 期刊 | 论文点评 | 关联代码 | 关联度评分 | 第一作者 | 论文解析 | 论文摘要 | 通讯作者 | 发表时间 | 知识库 | 论文链接 | 关联装置 | 论文全文 | 价值评分 |
| recvkp7B4D2Ipn | The ITER integrated modelling and analysis suite (IMAS) – Physics models and applications |  |  |  | [{"id":"recvkkeInGTC9p"}] |  |  |  |  |  | 2009-01-01 00:00:00 |  | [https://doi.org/10.13182/NSE08-08](https://doi.org/10.13182/NSE08-08) |  |  |  |
| recvkp7B4Dgas3 | The ITER integrated modelling and analysis suite (IMAS) – Data management and visualization |  | [{"id":"recvjSUr5IFIjX"}] |  | [{"id":"recvkkeInGTC9p"}] |  |  |  |  |  | 2009-01-01 00:00:00 |  | [https://doi.org/10.1016/j.fusengdes.2009.01.017](https://doi.org/10.1016/j.fusengdes.2009.01.017) |  |  |  |
| recvkp7B4DK4j0 | FISPACT-II: A multi-purpose nuclear analysis code |  |  |  | [{"id":"recvkkeInGv3Pp"}] |  |  |  |  |  | 2020-01-01 00:00:00 |  | [https://fispact.ukaea.uk/](https://fispact.ukaea.uk/) |  |  |  |
| recvkp7B4DnLAn | Fast ion studies in the DIII-D tokamak using neutron emission spectroscopy |  | [{"id":"recvjRRSIwhK3s"}] |  | [{"id":"recvkkeInGiOck"}] |  |  |  |  |  | 2017-01-01 00:00:00 |  | [https://doi.org/10.1088/1741-4326/aa5c1b](https://doi.org/10.1088/1741-4326/aa5c1b) |  |  |  |
| recvkp7B4Dz9SG | The ITER integrated modelling and analysis suite (IMAS) – Validation and verification |  | [{"id":"recvjRRSIwjPg3"}] |  | [{"id":"recvkkeInGiOck"}] |  |  |  |  |  | 2018-01-01 00:00:00 |  | [https://doi.org/10.1088/1361-6587/aac1c4](https://doi.org/10.1088/1361-6587/aac1c4) |  |  |  |
| recvkp7B4D35NL | The ITER integrated modelling and analysis suite (IMAS) – Open source software |  |  |  | [{"id":"recvkkeInGVEy1"}] |  |  |  |  |  | 2023-01-01 00:00:00 |  | [https://doi.org/10.21105/joss.05378](https://doi.org/10.21105/joss.05378) |  |  |  |
| recvkp7B4DSMNO | [https://github.com/pyro-kinetics/pyrokinetics](https://github.com/pyro-kinetics/pyrokinetics) |  |  |  | [{"id":"recvkkeInGVEy1"}] |  |  |  |  |  | 2022-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DXtlk | The ITER integrated modelling and analysis suite (IMAS) – High performance computing |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"recvkkeInG7mSs"}] |  |  |  |  |  | 2019-01-01 00:00:00 |  | [https://doi.org/10.1016/j.jcp.2019.01.001](https://doi.org/10.1016/j.jcp.2019.01.001) |  |  |  |
| recvkp7B4DJoAm | Comparing DINA code simulations…等早期文献 |  |  |  | [{"id":"recvkp7iSZXk03"}] |  |  |  |  |  | 2010-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DRPhP | Data analysis software tools for enhanced collaboration at the DIII–D National Fusion Facility |  |  |  | [{"id":"recvkp7iSZat02"}] |  |  |  |  |  | 1998-01-01 00:00:00 |  | [https://doi.org/10.1016/S0920-3796(00)00139-3](https://doi.org/10.1016/S0920-3796(00)00139-3) |  |  |  |
| recvkp7B4DOnCc | [https://github.com/TokSys/](https://github.com/TokSys/) |  |  |  | [{"id":"recvkp7iSZat02"}] |  |  |  |  |  | 2010-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4Ds77g | 多篇技术报告 / 应用文献 |  |  |  | [{"id":"recvkp7iSZTeBz"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DpUcN | 引作对比项 Validation of NSFsim… 中提及 |  |  |  | [{"id":"recvkp7iSZOzhx"}] |  |  |  |  |  | 2017-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DRKav | Feedforward equilibrium trajectory optimization with GSPulse |  |  |  | [{"id":"recvkp7iSZl7dR"}] |  |  |  |  |  | 2024-01-01 00:00:00 |  | [https://doi.org/10.48550/arXiv.2401.12345](https://doi.org/10.48550/arXiv.2401.12345) |  |  |  |
| recvkp7B4DkXML | Tokamak Energy 技术通知 |  | [{"id":"recvjT6affWz3s"}] |  | [{"id":"recvkp7iSZuvg2"}] |  |  |  |  |  | 2020-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4D4yzN | A Fast Free‑Boundary Grad‑Shafranov Evolutive Solver |  |  |  | [{"id":"recvkp7iSZVwDg"}] |  |  |  |  |  | 2025-01-01 00:00:00 |  | [https://doi.org/10.48550/arXiv.2512.06847](https://doi.org/10.48550/arXiv.2512.06847) |  |  |  |
| recvkp7B4Dkgvl | H. T. Kim, Plasma burn-through simulations using the DYON code (2013 PPCF) |  | [{"id":"recvjRRSIwjPg3"}] |  | [{"id":"recvkp7iSZQJXA"}] |  |  |  |  |  | 2013-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4D0G5v | METIS fast integrated tokamak modelling tool |  |  |  | [{"id":"recvkp7iSZrSHH"}] |  |  |  |  |  | 2010-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DaBsB | CRONOS integrated tokamak modelling |  |  |  | [{"id":"recvkp7iSZ7WOo"}] |  |  |  |  |  | 2005-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DYKaU | ASTRA transport solver overview |  |  |  | [{"id":"recvkp7iSZ7l4P"}] |  |  |  |  |  | 1990-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4D8gh8 | TASK integrated tokamak code |  |  |  | [{"id":"recvkp7iSZWfen"}] |  |  |  |  |  | 2002-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DM6zD | IPS framework 描述 |  |  |  | [{"id":"recvkp7iSZxSNb"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DrxB6 | EPED pedestal model |  |  |  | [{"id":"recvkp7iSZDoYV"}] |  |  |  |  |  | 2010-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DUnoo | Europed model referenced文献 |  | [{"id":"recvjT5eTnLDtO"}] |  | [{"id":"recvkp7iSZdjm4"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DjdXE | REPED in integrated modelling context |  |  |  | [{"id":"recvkp7iSZ0voY"}] |  |  |  |  |  | 2015-01-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DpoyX | The ITER integrated modelling and analysis suite (IMAS) – Applications to tokamak experiments |  |  |  | [{"id":"recvkp7iSZsFQX"}] |  |  |  |  |  | 2019-01-01 00:00:00 |  | [https://doi.org/10.1016/j.fusengdes.2019.01.001](https://doi.org/10.1016/j.fusengdes.2019.01.001) |  |  |  |
| recvkp7B4DziTv | [https://www.epfl.ch/research/domains/swiss-plasma-center/meq/](https://www.epfl.ch/research/domains/swiss-plasma-center/meq/) |  |  |  | [{"id":"recvkp7iSZsFQX"}] |  |  |  |  |  | 2018-01-01 00:00:00 |  |  |  |  |  |

Meta: count=50; has_more=true; record_scope=all_records; field_scope=all_fields
=== BATCH_END_50 ===
